metric,mean,std,seed_0,seed_42,seed_123
test_iou,0.7664,0.006408587988004854,0.7591,0.769,0.7711
test_dice,0.8499333333333333,0.004952103929981016,0.8449,0.8501,0.8548
val_iou,0.7716666666666668,0.00889400547185199,0.7793,0.7738,0.7619
val_dice,0.8607333333333335,0.005612783029240782,0.8658,0.8617,0.8547
