id,epoch,iou,dice
11,unknown,0.8386067166250347,0.9122197901728433
1080,unknown,0.7604505632040051,0.8639272003412484
2028,unknown,0.8410322292353237,0.9136529126213592
1049,unknown,0.8201106431130949,0.9011657024436577
1086,unknown,0.8958747317383355,0.9450779808821064
1005,unknown,0.7468908156459649,0.8551087554602316
3083,unknown,0.7464204748836655,0.8548004167591849
3075,unknown,0.13964128843338214,0.24506182752529307
1010,unknown,0.37339571347284567,0.5437554665561847
1056,unknown,0.2880460620146849,0.44726049868766404
1085,unknown,0.7577827018780195,0.8622029344905973
3000,unknown,0.807047843021974,0.8932224413852003
49,unknown,0.8902472799208704,0.9419373744139317
2033,unknown,0.022123401889938856,0.043289101587992165
42,unknown,0.9320800101278642,0.964846181567998
3077,unknown,0.7929641540512982,0.8845287311065906
1051,unknown,0.6964727212790506,0.8210833130920573
1047,unknown,0.8660580696923044,0.9282219924003858
3008,unknown,0.8165472779369628,0.899010213336488
3023,unknown,0.8930625013769249,0.9435108462899171
3021,unknown,0.9144969181162123,0.955339138405133
3003,unknown,0.8843077167986628,0.9386022345660759
1055,unknown,0.8067322959669736,0.8930291419130313
1045,unknown,0.7595746209671624,0.8633616465207449
3069,unknown,0.8989043965688078,0.9467610883339546
3086,unknown,0.8743769674711438,0.9329787792375921
1018,unknown,0.8929915006270029,0.9434712203739143
26,unknown,0.9306010289990645,0.9640531782804882
3025,unknown,0.9417973904119631,0.9700264250660626
3091,unknown,0.796156256528097,0.8865111302365611
2048,unknown,0.8346266550900803,0.9098599464631676
2029,unknown,0.903855122027048,0.9494998979383548
2050,unknown,0.841191305392098,0.9137467713741554
19,unknown,0.918714160938746,0.9576352534858635
1084,unknown,0.8004677941705649,0.8891775756970121
3048,unknown,0.8264920453546629,0.905004812319538
2020,unknown,0.9365135128353116,0.9672160887368476
9,unknown,0.7803005660009108,0.8765941896583227
1017,unknown,0.8358420706598845,0.9105816715045049
3022,unknown,0.858715865714006,0.9239883099444459
1068,unknown,0.8568647055728043,0.9229156039222355
2005,unknown,0.8462958022056207,0.9167499608617637
36,unknown,0.739105504587156,0.849983514671942
2001,unknown,0.9569834161360297,0.978018932858969
