encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,9,0.1733,0.6001,0.7256
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,10,0.1672,0.5954,0.7223
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,1,0.2508,0.4388,0.5818
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,2,0.215,0.5412,0.6776
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,3,0.2085,0.5708,0.7019
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,4,0.2053,0.5775,0.7071
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,5,0.2071,0.6003,0.7252
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,6,0.195,0.5237,0.6632
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,7,0.1945,0.5891,0.7165
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,8,0.1822,0.597,0.7245
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,9,0.1787,0.5647,0.6979
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,10,0.1751,0.6066,0.7327
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,1,0.2344,0.4388,0.5817
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,2,0.2023,0.482,0.6242
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,3,0.1928,0.5892,0.7185
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,4,0.1916,0.5757,0.708
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,5,0.1917,0.5743,0.702
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,6,0.1937,0.6025,0.7267
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,7,0.1823,0.5965,0.7227
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,8,0.1768,0.5991,0.7274
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,9,0.1635,0.5732,0.7056
baseline,unet_baseline,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,10,0.1619,0.6123,0.7369
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,1,0.2251,0.4387,0.5816
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,2,0.2002,0.5464,0.6803
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,3,0.1874,0.5903,0.7208
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,4,0.1911,0.5752,0.7047
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,5,0.1812,0.5922,0.718
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,6,0.1789,0.5837,0.715
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,7,0.1775,0.6091,0.736
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,8,0.1676,0.5812,0.7107
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,9,0.1648,0.5955,0.7258
baseline,unet_baseline,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,10,0.1548,0.6092,0.7369
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,1,0.2274,0.4408,0.5838
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,2,0.2047,0.5881,0.7153
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,3,0.1969,0.4205,0.573
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,4,0.1905,0.5914,0.7174
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,5,0.1864,0.6122,0.731
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,6,0.1791,0.5935,0.7217
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,7,0.1757,0.5948,0.7173
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,8,0.1737,0.5968,0.7243
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,9,0.1644,0.5636,0.6968
baseline,unet_baseline,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,10,0.1585,0.5889,0.7159
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,1,0.2242,0.4388,0.5818
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,2,0.1959,0.5153,0.6519
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,3,0.1896,0.4392,0.5915
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,4,0.1936,0.5815,0.7045
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,5,0.1873,0.5715,0.695
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,6,0.1833,0.5928,0.7156
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,7,0.179,0.6115,0.7322
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,8,0.1675,0.582,0.7139
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,9,0.1617,0.5918,0.7229
baseline,unet_baseline,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,10,0.1577,0.6134,0.7371
