epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2156,0.5403,0.6665,0.8048,0.8424,0.5892,0.6665,6e-05
2,0.1689,0.6909,0.8077,0.8421,0.7594,0.8811,0.8077,0.00012
3,0.1495,0.7322,0.8357,0.8703,0.7929,0.8943,0.8357,0.00018
4,0.1407,0.7315,0.8296,0.8806,0.8188,0.861,0.8296,0.00024
5,0.1311,0.7301,0.8288,0.8814,0.886,0.7947,0.8288,0.0003
6,0.1233,0.746,0.841,0.8879,0.8635,0.8333,0.841,0.0003
7,0.1146,0.5661,0.7056,0.706,0.5807,0.9653,0.7056,0.0003
8,0.1145,0.7448,0.8415,0.8799,0.8028,0.8993,0.8415,0.0003
9,0.0977,0.7496,0.845,0.8812,0.8252,0.8785,0.845,0.000299
10,0.0927,0.7566,0.8451,0.8877,0.8644,0.8445,0.8451,0.000299
11,0.083,0.7479,0.8446,0.8802,0.8053,0.9005,0.8446,0.000298
12,0.0759,0.7365,0.8355,0.8695,0.7964,0.8995,0.8355,0.000297
13,0.073,0.7025,0.8077,0.8566,0.8465,0.8041,0.8077,0.000296
14,0.0709,0.7587,0.8518,0.892,0.8462,0.8689,0.8518,0.000295
15,0.0713,0.7276,0.8269,0.8788,0.877,0.8066,0.8269,0.000293
16,0.0674,0.6937,0.7993,0.8583,0.8852,0.7617,0.7993,0.000292
17,0.0627,0.7707,0.8582,0.9006,0.8685,0.8589,0.8582,0.00029
18,0.0588,0.7519,0.8444,0.8919,0.869,0.8418,0.8444,0.000288
19,0.0549,0.7675,0.8573,0.897,0.8407,0.8847,0.8573,0.000286
20,0.0517,0.7481,0.8392,0.8918,0.894,0.8138,0.8392,0.000284
21,0.054,0.7667,0.8573,0.8918,0.8355,0.8887,0.8573,0.000282
22,0.054,0.771,0.8577,0.9008,0.879,0.8512,0.8577,0.00028
23,0.0576,0.7409,0.8364,0.8803,0.8909,0.8048,0.8364,0.000277
24,0.0533,0.735,0.8362,0.8683,0.8472,0.8394,0.8362,0.000274
25,0.0524,0.7619,0.855,0.885,0.8647,0.8561,0.855,0.000272
26,0.0468,0.7688,0.8572,0.898,0.8791,0.8491,0.8572,0.000269
27,0.0463,0.7503,0.8456,0.8854,0.8714,0.8354,0.8456,0.000266
28,0.0441,0.7568,0.8513,0.886,0.8528,0.8633,0.8513,0.000262
29,0.0387,0.7608,0.8543,0.8881,0.8497,0.8706,0.8543,0.000259
30,0.0365,0.7582,0.8502,0.8897,0.88,0.8388,0.8502,0.000256
31,0.0355,0.7594,0.8492,0.8913,0.8933,0.8286,0.8492,0.000252
32,0.0342,0.7621,0.8534,0.892,0.8775,0.8453,0.8534,0.000248
33,0.033,0.7593,0.85,0.8893,0.8732,0.8475,0.85,0.000245
34,0.0316,0.7508,0.8472,0.8824,0.8485,0.8625,0.8472,0.000241
35,0.0303,0.7626,0.8538,0.8916,0.8807,0.843,0.8538,0.000237
36,0.0291,0.759,0.852,0.8902,0.875,0.8442,0.852,0.000233
37,0.0301,0.7576,0.85,0.8885,0.8712,0.8466,0.85,0.000229
38,0.0283,0.7583,0.852,0.8885,0.8519,0.8649,0.852,0.000224
39,0.0269,0.7588,0.8518,0.8888,0.8591,0.8598,0.8518,0.00022
40,0.0264,0.7571,0.8505,0.8871,0.8602,0.8565,0.8505,0.000216
41,0.0252,0.7599,0.8509,0.8919,0.8651,0.8548,0.8509,0.000211
42,0.0255,0.7569,0.8459,0.8896,0.8905,0.8289,0.8459,0.000207
43,0.0248,0.7676,0.8579,0.8958,0.8484,0.8776,0.8579,0.000202
44,0.0236,0.7582,0.8518,0.8887,0.8568,0.859,0.8518,0.000197
45,0.023,0.7571,0.8507,0.8888,0.8618,0.8519,0.8507,0.000193
46,0.024,0.7738,0.8617,0.8996,0.8689,0.8638,0.8617,0.000188
47,0.0221,0.7655,0.8562,0.8944,0.8623,0.8607,0.8562,0.000183
48,0.0229,0.7583,0.85,0.8885,0.8624,0.8544,0.85,0.000178
49,0.021,0.7561,0.8471,0.887,0.8667,0.8492,0.8471,0.000174
50,0.021,0.7623,0.8534,0.8925,0.8776,0.8447,0.8534,0.000169
