id,epoch,iou,dice
11,unknown,0.7630677812468527,0.8656136642769415
1080,unknown,0.3827441918561079,0.5536008671890879
2028,unknown,0.6343559166321402,0.7762763424742086
1049,unknown,0.5809724228908851,0.7349557961656898
1086,unknown,0.8208424193733501,0.9016073116924047
1005,unknown,0.769695678282936,0.8698621889948225
3083,unknown,0.6357903147561568,0.7773494059975926
3075,unknown,0.144266221283837,0.25215499435432787
1010,unknown,0.32540272614622057,0.49102468212415856
1056,unknown,0.13216877183552808,0.23347892138245346
1085,unknown,0.5814583973839403,0.7353445381121538
3000,unknown,0.727439764257237,0.8422172272617805
49,unknown,0.7798671320797208,0.8763206174479661
2033,unknown,0.09835393196981297,0.17909333067788594
42,unknown,0.8035361329975902,0.8910674072962018
3077,unknown,0.6242131766680654,0.7686345433406536
1051,unknown,0.691937237843716,0.8179230557340924
1047,unknown,0.8067172580577909,0.8930199282260763
3008,unknown,0.7999656829100892,0.888867705096185
3023,unknown,0.8528734174539767,0.9205954485826727
3021,unknown,0.8172771586335228,0.8994524085121539
3003,unknown,0.8468177324918257,0.9170560988162635
1055,unknown,0.603007319869477,0.7523450609303222
1045,unknown,0.7378464664054564,0.8491503486284497
3069,unknown,0.8667412908157693,0.9286142595978062
3086,unknown,0.7992252081871701,0.8884104163841041
1018,unknown,0.755198567070611,0.8605277844215897
26,unknown,0.8661408757138972,0.9282695502637792
3025,unknown,0.9161079346797746,0.9562174636397789
3091,unknown,0.7211515863689777,0.8379873011538199
2048,unknown,0.8695871766926287,0.9302451231302963
2029,unknown,0.8586956521739131,0.9239766081871345
2050,unknown,0.6929358004344894,0.8186202929333156
19,unknown,0.9259548543310162,0.9615540595344311
1084,unknown,0.7010770906450442,0.8242743312464428
3048,unknown,0.517940876656473,0.6824256262171782
2020,unknown,0.8487347364128588,0.9181790331474787
9,unknown,0.7192440377981101,0.836698016087662
1017,unknown,0.727616191904048,0.8423354623715634
3022,unknown,0.7918218725149625,0.8838176212276931
1068,unknown,0.8230962000716002,0.9029651864111987
2005,unknown,0.8156984710411275,0.8984955200996598
36,unknown,0.6257800165401097,0.7698212675437582
2001,unknown,0.8485505093749454,0.9180712185807329
