epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2122,0.5782,0.7152,0.7334,0.6062,0.9125,0.7152,6e-05
2,0.1602,0.7331,0.8346,0.8683,0.7921,0.896,0.8346,0.00012
3,0.1484,0.7139,0.816,0.8716,0.8878,0.7788,0.816,0.00018
4,0.1359,0.736,0.836,0.8831,0.8889,0.8058,0.836,0.00024
5,0.1272,0.6595,0.7789,0.801,0.6754,0.9587,0.7789,0.0003
6,0.1137,0.7584,0.852,0.8896,0.8634,0.8541,0.852,0.0003
7,0.1027,0.7313,0.8303,0.8775,0.8709,0.8171,0.8303,0.0003
8,0.1036,0.7397,0.8382,0.8704,0.7947,0.9067,0.8382,0.0003
9,0.0952,0.724,0.8276,0.867,0.7889,0.8883,0.8276,0.000299
10,0.085,0.7573,0.8479,0.8889,0.857,0.8594,0.8479,0.000299
11,0.0801,0.7586,0.8507,0.8871,0.8467,0.868,0.8507,0.000298
12,0.076,0.6586,0.7809,0.8072,0.6923,0.9333,0.7809,0.000297
13,0.0808,0.7188,0.8237,0.8637,0.8685,0.8003,0.8237,0.000296
14,0.0762,0.7619,0.8547,0.8863,0.8365,0.8835,0.8547,0.000295
15,0.0688,0.7436,0.8429,0.8734,0.8282,0.8706,0.8429,0.000293
16,0.0675,0.6524,0.7663,0.835,0.8738,0.7241,0.7663,0.000292
17,0.063,0.7331,0.8288,0.8743,0.8537,0.8273,0.8288,0.00029
18,0.0649,0.7124,0.817,0.8648,0.8913,0.7756,0.817,0.000288
19,0.0594,0.6798,0.7909,0.8434,0.8866,0.7434,0.7909,0.000286
20,0.0544,0.7487,0.8451,0.8795,0.8659,0.8392,0.8451,0.000284
21,0.049,0.7415,0.8389,0.8766,0.8577,0.8389,0.8389,0.000282
22,0.0498,0.7432,0.8387,0.8779,0.8869,0.8131,0.8387,0.00028
23,0.0484,0.76,0.8529,0.8873,0.8586,0.859,0.8529,0.000277
24,0.0462,0.7293,0.8289,0.8656,0.8608,0.82,0.8289,0.000274
25,0.0449,0.7194,0.8241,0.8593,0.8288,0.842,0.8241,0.000272
26,0.0419,0.7444,0.8411,0.8775,0.862,0.8375,0.8411,0.000269
27,0.0402,0.7432,0.8428,0.8766,0.8518,0.8455,0.8428,0.000266
28,0.0398,0.7448,0.8424,0.8766,0.8631,0.8372,0.8424,0.000262
29,0.0388,0.7298,0.83,0.8693,0.8733,0.8094,0.83,0.000259
30,0.038,0.7355,0.8333,0.8735,0.8609,0.8283,0.8333,0.000256
31,0.0344,0.7424,0.8398,0.8764,0.8546,0.8426,0.8398,0.000252
32,0.0324,0.7429,0.8403,0.8754,0.853,0.8442,0.8403,0.000248
33,0.0306,0.7503,0.8463,0.8812,0.866,0.8393,0.8463,0.000245
34,0.0324,0.7387,0.8387,0.8737,0.7937,0.9013,0.8387,0.000241
35,0.041,0.7309,0.8322,0.8746,0.852,0.8295,0.8322,0.000237
36,0.041,0.7333,0.8289,0.8861,0.8971,0.7892,0.8289,0.000233
37,0.0365,0.6919,0.7946,0.8519,0.8879,0.751,0.7946,0.000229
38,0.031,0.7424,0.8373,0.8804,0.851,0.8438,0.8373,0.000224
39,0.0281,0.7318,0.8301,0.8736,0.8474,0.8357,0.8301,0.00022
40,0.0266,0.7391,0.8344,0.8771,0.8619,0.8296,0.8344,0.000216
